"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2018,51059,"Fairfax County, VA",0.9,15,1,0.066,8.9,12,7272.51,124246.530565344
2018,51087,"Henrico County, VA",0.8,6,0,0.065,7,12,8339.02,69823.8317917142
2018,51650,"Hampton City, VA",0.6,3,1,0.062,6,10,6017.8,55755.4206035147
2018,55079,"Milwaukee County, WI",0.8,14,0,0.073,8.7,16,7928.24,50672.9550765577
2018,56021,"Laramie County, WY",0.4,4,0,0.068,4.9,13,7335.24,64995.8967899453
2019,1073,"Jefferson County, AL",1.3,12,2,0.074,10.3,23,7591.09,54127
2019,4013,"Maricopa County, AZ",2.3,25,1,0.074,8.4,50,6529.26,68634
2019,4019,"Pima County, AZ",0.6,7,0,0.065,5,39,6804.69,56150
2019,5119,"Pulaski County, AR",1.2,8,1,0.06,10.3,19,7515.31,52684
2019,6013,"Contra Costa County, CA",0.9,7,1,0.069,7.8,15,8484.51,106555
2019,6019,"Fresno County, CA",1.4,20,0,0.08,11.7,39,5673.23,56926
2019,6023,"Humboldt County, CA",0.8,2,0,0.046,6.8,15,7115.46,51134
2019,6025,"Imperial County, CA",3.1,9,0,0.08,10.8,44,5596.66,48102
2019,6037,"Los Angeles County, CA",2.9,23,0,0.101,13.4,28,6980.7,72721
2019,6065,"Riverside County, CA",1.2,14,0,0.096,12.7,46,7818.38,72905
2019,6067,"Sacramento County, CA",1.2,12,0,0.071,8.4,22,6618.35,71891
2019,6071,"San Bernardino County, CA",1.1,29,2,0.106,15.5,35,6120.77,67398
2019,6073,"San Diego County, CA",1.7,14,0,0.076,8.6,32,8102.78,83576
2019,6083,"Santa Barbara County, CA",0.6,5,1,0.068,6.8,22,7364.93,74530
2019,6085,"Santa Clara County, CA",1.5,14,0,0.064,9.1,18,7899.22,132444
2019,8001,"Adams County, CO",1.3,17,1,0.06,9.2,35,6711.15,75341
2019,8031,"Denver County, CO",2,27,1,0.067,10,30,6711.15,75456
2019,9001,"Fairfield County, CT",1.7,8,0,0.084,6.9,14,8552.45,96966
2019,9009,"New Haven County, CT",1.2,12,0,0.084,6.9,16,8629.06,69687
2019,11001,"District of Columbia",1.6,14,1,0.071,8.7,17,11977.94,90395
2019,12011,"Broward County, FL",1.7,15,1,0.058,8.9,15,7393.59,61429
2019,12031,"Duval County, FL",1.1,11,1,0.065,6.8,20,6745.57,58339
2019,12057,"Hillsborough County, FL",1,10,1,0.07,7.2,22,6249.13,61133
2019,12086,"Miami-Dade County, FL",1.2,11,2,0.06,6.7,21,5558.47,54991
2019,12095,"Orange County, FL",0.7,4,0,0.065,6.5,12,5904.55,63133
2019,12103,"Pinellas County, FL",0.7,8,1,0.067,6.7,18,8297.45,56708
2019,13089,"DeKalb County, GA",1.1,15,0,0.073,8.5,17,6308.41,63606
2019,13121,"Fulton County, GA",1.8,16,1,0.075,9.5,16,7089.05,79235
2019,15003,"Honolulu County, HI",0.8,4,1,0.053,3.9,13,7195.53,86946
2019,17031,"Cook County, IL",1.5,17,1,0.071,10.8,14,6946.3,69375
2019,18089,"Lake County, IN",1.6,9,0,0.065,9.2,19,8684.98,57280
2019,18163,"Vanderburgh County, IN",1.1,8,0,0.064,8.7,14,7680.84,51603
2019,22033,"East Baton Rouge Parish, LA",0.9,10,1,0.066,9.3,17,8014.76,56303
2019,23003,"Aroostook County, ME",0.6,2,0,0.053,5.5,14,7385.13,40675
2019,24033,"Prince George's County, MD",0.9,5,0,0.075,7.2,10,7633.24,85357
2019,25025,"Suffolk County, MA",1,14,0,0.061,8.1,10,7340.98,75843
2019,25027,"Worcester County, MA",0.9,10,0,0.06,8.2,13,9184.19,77795
2019,26163,"Wayne County, MI",2,16,3,0.068,12.6,25,7425.5,50753
2019,27003,"Anoka County, MN",0.6,7,0,0.062,6.8,12,7388.44,83363
2019,29510,"St. Louis City, MO",1.7,11,1,0.064,9.4,23,6091.98,46309
2019,32003,"Clark County, NV",2.4,24,0,0.07,7.2,29,6344.18,62131
2019,32031,"Washoe County, NV",1.5,11,0,0.066,6,20,5841.14,71733
2019,34007,"Camden County, NJ",1.2,11,1,0.07,10.2,17,7454.82,73168
2019,34013,"Essex County, NJ",1.6,16,0,0.065,9,13,6491.15,64522
2019,34017,"Hudson County, NJ",1.2,21,1,0.065,8.9,15,5424.84,77738
2019,35001,"Bernalillo County, NM",1,9,1,0.069,6.7,36,6962.86,56148
2019,36005,"Bronx County, NY",1.3,17,1,0.069,7.4,13,8743.73,41470
2019,36055,"Monroe County, NY",0.7,8,0,0.059,6.6,10,6828.8,62159
2019,36081,"Queens County, NY",1.1,17,0,0.071,7.8,11,8242.63,72975
2019,37119,"Mecklenburg County, NC",1.4,11,0,0.074,9.5,15,7127.41,69455
2019,37183,"Wake County, NC",1.2,9,0,0.064,7.9,15,7390.94,84377
2019,38015,"Burleigh County, ND",0.5,5,0,0.059,5.3,15,7917.95,73565
2019,39035,"Cuyahoga County, OH",2.3,10,2,0.07,10.9,31,8362.89,52503
2019,39049,"Franklin County, OH",1,10,0,0.068,9.9,17,7217.44,64648
2019,39061,"Hamilton County, OH",1.6,18,1,0.072,11.9,17,7600.05,60251
2019,40109,"Oklahoma County, OK",1,12,0,0.066,8.5,17,7081.66,56272
2019,40143,"Tulsa County, OK",0.8,7,0,0.066,8.3,16,7374.17,57668
2019,41051,"Multnomah County, OR",1.4,8,0,0.058,6.4,12,6715.72,72469
2019,42003,"Allegheny County, PA",3,10,4,0.064,14.2,23,7834.06,64799
2019,44007,"Providence County, RI",1.7,17,0,0.064,8.3,16,6767.8,62165
2019,46099,"Minnehaha County, SD",0.5,5,0,0.065,6.9,12,8317.03,63162
2019,47157,"Shelby County, TN",0.8,10,0,0.07,8.4,18,6501.47,52659
2019,48201,"Harris County, TX",1.7,17,0,0.081,10.7,29,6502.54,61638
2019,48453,"Travis County, TX",1.8,12,0,0.065,9.5,20,5723.99,80690
2019,49035,"Salt Lake County, UT",1.5,18,1,0.073,9,17,5368.59,79941
2019,50007,"Chittenden County, VT",0.6,6,0,0.054,5.5,5,7940.29,76483
2019,50021,"Rutland County, VT",1,7,0,0.052,6.4,12,9066.54,51903
2019,51059,"Fairfax County, VA",1.1,16,0,0.07,9.1,9,7658.22,127898
2019,51087,"Henrico County, VA",0.9,6,0,0.064,6.9,11,8352.54,68975
2019,51650,"Hampton City, VA",0.5,3,0,0.061,6.4,9,6343.58,55816
2019,53033,"King County, WA",1.1,18,1,0.055,8.3,10,7520.36,102338
2019,55079,"Milwaukee County, WI",0.7,13,0,0.064,8,17,7917.96,53505
2019,56009,"Converse County, WY",0.1,3,1,0.059,2.2,20,9013.62,72481
2019,56021,"Laramie County, WY",0.4,3,1,0.06,3.9,19,7246.8,69613
