"Year","County.Code","County","CO","NO2","SO2","O3","PM2.5","PM10","Spending.Per.Capita.Mean","Median.Household.Income"
2011,19153,"Polk County, IA",0.9,8,0,0.059,9.6,20,7169.14,63750.9259536838
2011,19163,"Scott County, IA",0.5,7,1,0.066,11.5,42,6353.28,56836.0798375116
2011,22033,"East Baton Rouge Parish, LA",1.4,12,1,0.083,12.5,33,6509.03,52195.4952398241
2011,25013,"Hampden County, MA",3,16,3,0.074,9.7,14,7383.76,53774.1805217707
2011,25025,"Suffolk County, MA",1.4,20,2,0.066,10.3,17,6660.45,55729.0679839364
2011,25027,"Worcester County, MA",1.7,17,3,0.068,9,16,8064.4,68643.827421488
2011,26163,"Wayne County, MI",1.5,12,3,0.083,11.2,21,5832.75,43733.7875910894
2011,29510,"St. Louis City, MO",1.4,13,3,0.079,12.5,43,5831.82,37024.6592834359
2011,32003,"Clark County, NV",3,13,1,0.078,8.2,25,5226.85,54944.8398741141
2011,32031,"Washoe County, NV",2.6,17,1,0.067,6.7,35,4819.05,57862.3957551486
2011,34017,"Hudson County, NJ",1.8,19,2,0.078,11.8,30,5017.1,62662.0990997566
2011,35001,"Bernalillo County, NM",2.2,13,0,0.076,6.4,36,5705.75,50263.3390272185
2011,37119,"Mecklenburg County, NC",1.5,10,1,0.088,11,20,5404.37,59227.4072912306
2011,38017,"Cass County, ND",0.4,4,0,0.057,7.1,18,6314.15,59605.8825964057
2011,39035,"Cuyahoga County, OH",3.1,15,6,0.081,12.6,37,7367.88,47291.2281472398
2011,39061,"Hamilton County, OH",1.8,13,3,0.088,13.3,18,6708.39,52423.9442979028
2011,40109,"Oklahoma County, OK",1,10,1,0.084,10.2,28,6356.06,48986.9793644208
2011,40143,"Tulsa County, OK",1.4,9,5,0.085,11.2,24,6639.18,52846.74553972
2011,42003,"Allegheny County, PA",2.3,16,7,0.08,14,25,8007.97,56466.6970321606
2011,42011,"Berks County, PA",0.7,9,2,0.075,11.8,7,7249.71,59292.1913524768
2011,42021,"Cambria County, PA",1.4,9,3,0.072,13.4,18,6460.72,45339.7503725081
2011,42095,"Northampton County, PA",1.1,11,3,0.076,14.5,21,8079.16,65106.8449899417
2011,42101,"Philadelphia County, PA",1.7,20,2,0.089,11.4,22,6408.7,39135.255805088
2011,42125,"Washington County, PA",0.9,10,5,0.071,10.8,19,7557.73,59537.6888477255
2011,42133,"York County, PA",1.2,13,1,0.076,11.5,20,7811.41,63103.0853412219
2011,45079,"Richland County, SC",0.8,6,1,0.081,10.9,16,5257.81,51352.1658811457
2011,46127,"Union County, SD",0.3,3,0,0.061,9.3,17,5317.14,75288.1716678954
2011,48113,"Dallas County, TX",1.3,13,1,0.088,11.1,29,5171.87,53799.1848962868
2011,48141,"El Paso County, TX",2.7,17,1,0.071,12,39,4114.6,44457.7778895776
2011,48201,"Harris County, TX",2,14,1,0.087,13.2,41,5644.79,57878.3076298407
2011,49035,"Salt Lake County, UT",1.6,18,2,0.075,8.9,29,4550.17,63836.168139534
2011,51087,"Henrico County, VA",1.1,10,1,0.078,9.5,14,7000.85,66045.6455967725
2011,51510,"Alexandria City, VA",1.4,13,0,0.084,10.2,17,4588.86,93277.6825697318
2011,51650,"Hampton City, VA",1,5,1,0.076,8.8,15,5394.48,55300.5839297292
2011,56021,"Laramie County, WY",0.2,4,0,0.067,4.7,12,6660.33,61191.3872532203
2011,56037,"Sweetwater County, WY",0.9,4,1,0.068,5.1,33,5886.24,79282.052215599
2012,4013,"Maricopa County, AZ",2.5,26,2,0.083,12,48,5565.22,57281.6955218398
2012,4019,"Pima County, AZ",1.2,13,0,0.071,5.9,42,5613.48,49824.4521232597
2012,5119,"Pulaski County, AR",1.4,11,2,0.08,11.6,20,5969.63,49906.852602802
2012,6013,"Contra Costa County, CA",0.9,9,2,0.072,6.6,15,7623.18,82632.0917010359
2012,6019,"Fresno County, CA",2.1,13,1,0.097,15.4,33,4735.69,46281.2315029398
2012,6023,"Humboldt County, CA",0.7,3,0,0.046,5.8,16,5531.31,44359.2959936148
2012,6025,"Imperial County, CA",4.5,14,0,0.084,14.2,53,4440.85,42519.7609638322
2012,6037,"Los Angeles County, CA",3.9,21,0,0.102,12.7,31,5620.99,58937.499752643
2012,6059,"Orange County, CA",2.3,18,0,0.071,10.8,26,6839.41,80024.2278755208
2012,6071,"San Bernardino County, CA",1.6,22,1,0.106,12.5,35,5042.99,56347.4522470289
2012,6073,"San Diego County, CA",2.1,20,0,0.08,11.1,24,6468.35,67072.8768274566
2012,6083,"Santa Barbara County, CA",1,10,2,0.07,8.5,20,5682.53,67571.7337846858
2012,6085,"Santa Clara County, CA",1.9,13,1,0.07,9,18,5836.18,101547.455835974
2012,6095,"Solano County, CA",2.1,9,1,0.07,9,11,6829.98,69011.5151366888
2012,9001,"Fairfield County, CT",1.6,8,1,0.09,9.3,17,7854.89,88564.9262280831
2012,9003,"Hartford County, CT",2.5,9,1,0.077,8.5,11,7901.05,70568.2160880424
2012,9005,"Litchfield County, CT",0.4,2,0,0.073,5.5,8,7717.14,75436.5255010023
2012,9009,"New Haven County, CT",1.2,13,1,0.081,9.2,15,8087.11,65939.3134737528
2012,11001,"District of Columbia",2.5,17,2,0.087,11.6,17,10846.11,72636.0227165572
2012,13089,"DeKalb County, GA",1.4,12,0,0.085,13.6,20,5032.51,54630.4044165659
2012,15003,"Honolulu County, HI",1.1,3,2,0.046,7.1,18,5846.54,78813.8316422437
2012,18089,"Lake County, IN",1.9,12,2,0.081,11.5,27,7392.08,53465.6625030353
